Label,GISAID/GenBank accession,Country,Host,Clade,Nextclade_pango,Collection_date,WHO_Label,,,,,,,,,
hCoV-19/mink/USA/MN08N-096/2022-09-13,PQ594510,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-097/2022-09-13,PQ594511,USA (this study),mink,22B,BA.5.2.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-100/2022-09-13,PQ594512,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-104/2022-09-13,PQ594513,USA (this study),mink,22B,BA.5.2.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-152/2022-09-13,PQ594514,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-161/2022-09-13,PQ594515,USA (this study),mink,22B,BA.5.2.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-166/2022-09-13,PQ594516,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-177/2022-09-13,PQ594517,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-180/2022-09-13,PQ594518,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-190/2022-09-13,PQ594519,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-191/2022-09-13,PQ594520,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-194/2022-09-13,PQ594521,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-196/2022-09-13,PQ594522,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-198/2022-09-13,PQ594523,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-200/2022-09-13,PQ594524,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-203/2022-09-13,PQ594525,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-213/2022-09-13,PQ594526,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-215/2022-09-13,PQ594527,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-223/2022-09-13,PQ594528,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-227/2022-09-13,PQ594529,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-228/2022-09-13,PQ594530,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-229/2022-09-13,PQ594531,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-235/2022-09-13,PQ594532,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-236/2022-09-13,PQ594533,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN08N-238/2022-09-13,PQ594534,USA (this study),mink,22B,BF.1,9/13/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN09N-005/2022-09-19,PQ594535,USA (this study),mink,22B,BF.1,9/19/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN09N-010/2022-09-19,PQ594536,USA (this study),mink,22B,BF.1,9/19/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN09N-157/2022-09-19,PQ594537,USA (this study),mink,22B,BF.1,9/19/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN09N-177/2022-09-19,PQ594538,USA (this study),mink,22B,BF.1,9/19/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN09N-181/2022-09-19,PQ594539,USA (this study),mink,22B,BF.1,9/19/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN09N-204/2022-09-19,PQ594540,USA (this study),mink,22B,BF.1,9/19/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN09N-211/2022-09-19,PQ594541,USA (this study),mink,22B,BF.1,9/19/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN09N-221/2022-09-19,PQ594542,USA (this study),mink,22B,BF.1,9/19/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MN09N-240/2022-09-19,PQ594543,USA (this study),mink,22B,BF.1,9/19/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MO08N-203/2022-09-12,PQ594544,USA (this study),mink,22A,BA.4.1,9/12/2022,Omicron,,,,,,,,,
hCoV-19/mink/USA/MP01N-123/2022-08-08,PQ594545,USA (this study),mink,21J,AY.39,8/8/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP01N-150/2022-08-08,PQ594546,USA (this study),mink,21J,B.1.617.2,8/8/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP01N-151/2022-08-08,PQ594547,USA (this study),mink,21J,B.1.617.2,8/8/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP01N-239/2022-08-08,PQ594548,USA (this study),mink,21J,AY.39,8/8/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP02N-025/2022-08-21,PQ594549,USA (this study),mink,21J,AY.39,8/21/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP02N-059/2022-08-21,PQ594550,USA (this study),mink,21J,AY.39,8/21/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP02N-066/2022-08-21,PQ594551,USA (this study),mink,21J,AY.39,8/21/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP02N-067/2022-08-21,PQ594552,USA (this study),mink,21J,AY.39,8/21/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP02N-158/2022-08-21,PQ594553,USA (this study),mink,21J,AY.39,8/21/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP02N-163/2022-08-21,PQ594554,USA (this study),mink,21J,AY.39,8/21/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP02N-165/2022-08-21,PQ594555,USA (this study),mink,21J,AY.39,8/21/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP02N-171/2022-08-21,PQ594556,USA (this study),mink,21J,AY.39,8/21/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP02N-187/2022-08-21,PQ594557,USA (this study),mink,21J,AY.39,8/21/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP02N-190/2022-08-21,PQ594558,USA (this study),mink,21J,AY.39,8/21/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP02N-197/2022-08-21,PQ594559,USA (this study),mink,21J,AY.39,8/21/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP02N-205/2022-08-21,PQ594560,USA (this study),mink,21J,AY.39,8/21/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP02N-206/2022-08-21,PQ594561,USA (this study),mink,21J,AY.39,8/21/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP02N-218/2022-08-21,PQ594562,USA (this study),mink,21J,AY.39,8/21/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP02N-232/2022-08-21,PQ594563,USA (this study),mink,21J,AY.39,8/21/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP02N-233/2022-08-21,PQ594564,USA (this study),mink,21J,AY.39,8/21/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP02N-236/2022-08-21,PQ594565,USA (this study),mink,21J,AY.39,8/21/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP02N-237/2022-08-21,PQ594566,USA (this study),mink,21J,AY.39,8/21/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP02N-245/2022-08-21,PQ594567,USA (this study),mink,21J,AY.39,8/21/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-002/2022-08-28,PQ594568,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-005/2022-08-28,PQ594569,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-007/2022-08-28,PQ594570,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-017/2022-08-28,PQ594571,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-018/2022-08-28,PQ594572,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-022/2022-08-28,PQ594573,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-023/2022-08-28,PQ594574,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-026/2022-08-28,PQ594575,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-027/2022-08-28,PQ594576,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-039/2022-08-28,PQ594577,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-042/2022-08-28,PQ594578,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-043/2022-08-28,PQ594579,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-051/2022-08-28,PQ594580,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-056/2022-08-28,PQ594581,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-060/2022-08-28,PQ594582,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-069/2022-08-28,PQ594583,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-071/2022-08-28,PQ594584,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-075/2022-08-28,PQ594585,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-076/2022-08-28,PQ594586,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-103/2022-08-28,PQ594587,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-118/2022-08-28,PQ594588,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-149/2022-08-28,PQ594589,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-152/2022-08-28,PQ594590,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-157/2022-08-28,PQ594591,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-159/2022-08-28,PQ594592,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-160/2022-08-28,PQ594593,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-170/2022-08-28,PQ594594,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-172/2022-08-28,PQ594595,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-173/2022-08-28,PQ594596,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-175/2022-08-28,PQ594597,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-176/2022-08-28,PQ594598,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-182/2022-08-28,PQ594599,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-185/2022-08-28,PQ594600,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-189/2022-08-28,PQ594601,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-193/2022-08-28,PQ594602,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-194/2022-08-28,PQ594603,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-195/2022-08-28,PQ594604,USA (this study),mink,21J,B.1.617.2,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-197/2022-08-28,PQ594605,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-198/2022-08-28,PQ594606,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-199/2022-08-28,PQ594607,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-200/2022-08-28,PQ594608,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-201/2022-08-28,PQ594609,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-202/2022-08-28,PQ594610,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-203/2022-08-28,PQ594611,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-204/2022-08-28,PQ594612,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-207/2022-08-28,PQ594613,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-209/2022-08-28,PQ594614,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-210/2022-08-28,PQ594615,USA (this study),mink,21J,B.1.617.2,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-211/2022-08-28,PQ594616,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-216/2022-08-28,PQ594617,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-217/2022-08-28,PQ594618,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-219/2022-08-28,PQ594619,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-220/2022-08-28,PQ594620,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-223/2022-08-28,PQ594621,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-224/2022-08-28,PQ594622,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-225/2022-08-28,PQ594623,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-228/2022-08-28,PQ594624,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-231/2022-08-28,PQ594625,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-235/2022-08-28,PQ594626,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-241/2022-08-28,PQ594627,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-243/2022-08-28,PQ594628,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-244/2022-08-28,PQ594629,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-248/2022-08-28,PQ594630,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-249/2022-08-28,PQ594631,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP03N-250/2022-08-28,PQ594632,USA (this study),mink,21J,AY.39,8/28/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-002/2022-08-31,PQ594633,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-003/2022-08-31,PQ594634,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-005/2022-08-31,PQ594635,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-007/2022-08-31,PQ594636,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-008/2022-08-31,PQ594637,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-011/2022-08-31,PQ594638,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-017/2022-08-31,PQ594639,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-018/2022-08-31,PQ594640,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-019/2022-08-31,PQ594641,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-021/2022-08-31,PQ594642,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-022/2022-08-31,PQ594643,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-029/2022-08-31,PQ594644,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-032/2022-08-31,PQ594645,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-033/2022-08-31,PQ594646,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-036/2022-08-31,PQ594647,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-038/2022-08-31,PQ594648,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-039/2022-08-31,PQ594649,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-042/2022-08-31,PQ594650,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-043/2022-08-31,PQ594651,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-046/2022-08-31,PQ594652,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-050/2022-08-31,PQ594653,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-051/2022-08-31,PQ594654,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-052/2022-08-31,PQ594655,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-054/2022-08-31,PQ594656,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-056/2022-08-31,PQ594657,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-063/2022-08-31,PQ594658,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-071/2022-08-31,PQ594659,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-072/2022-08-31,PQ594660,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-073/2022-08-31,PQ594661,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-075/2022-08-31,PQ594662,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-076/2022-08-31,PQ594663,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-077/2022-08-31,PQ594664,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-083/2022-08-31,PQ594665,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-084/2022-08-31,PQ594666,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-089/2022-08-31,PQ594667,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-092/2022-08-31,PQ594668,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-098/2022-08-31,PQ594669,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-101/2022-08-31,PQ594670,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-102/2022-08-31,PQ594671,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-103/2022-08-31,PQ594672,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-104/2022-08-31,PQ594673,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-108/2022-08-31,PQ594674,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-112/2022-08-31,PQ594675,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-115/2022-08-31,PQ594676,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-117/2022-08-31,PQ594677,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-148/2022-08-31,PQ594678,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-149/2022-08-31,PQ594679,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-160/2022-08-31,PQ594680,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-170/2022-08-31,PQ594681,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-174/2022-08-31,PQ594682,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-175/2022-08-31,PQ594683,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-176/2022-08-31,PQ594684,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-182/2022-08-31,PQ594685,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-186/2022-08-31,PQ594686,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-193/2022-08-31,PQ594687,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-194/2022-08-31,PQ594688,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-200/2022-08-31,PQ594689,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-201/2022-08-31,PQ594690,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-203/2022-08-31,PQ594691,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
hCoV-19/mink/USA/MP04N-209/2022-08-31,PQ594692,USA (this study),mink,21J,AY.39,8/31/2022,Delta,,,,,,,,,
